Date,Open,High,Low,Close,Volume
10/06/2023,"105.73","108.27","105.11","107.17","25,367,471"
10/05/2023,"109.80","110.90","108.70","108.99","20,128,779"
10/04/2023,"114.05","114.09","110.50","111.50","19,622,230"
10/03/2023,"115.44","116.44","115.03","115.83","13,297,060"
10/02/2023,"117.53","117.79","114.55","115.63","14,395,000"
09/29/2023,"119.10","119.18","116.73","117.58","18,813,570"
09/28/2023,"119.98","120.70","118.19","119.47","16,808,119"
09/27/2023,"117.89","120.50","117.40","120.20","23,976,160"
09/26/2023,"115.50","116.73","115.37","116.41","11,805,430"
09/25/2023,"115.09","116.65","114.83","116.23","11,316,010"
09/22/2023,"115.71","116.68","114.81","114.94","13,200,210"
09/21/2023,"116.98","117.37","114.60","114.76","14,409,640"
09/20/2023,"116.54","118.02","116.32","116.40","11,883,210"
09/19/2023,"118.62","118.84","116.61","117.33","12,569,720"
09/18/2023,"117.53","118.24","116.70","117.64","14,045,310"
09/15/2023,"117.90","118.51","116.50","116.70","34,568,391"
09/14/2023,"117.55","118.66","117.33","118.52","15,210,700"
09/13/2023,"117.41","117.96","115.90","116.44","13,472,800"
09/12/2023,"115.34","117.67","115.27","117.49","20,145,760"
09/11/2023,"116.18","116.68","113.57","114.16","14,383,560"
09/08/2023,"114.53","116.05","114.32","115.61","14,286,480"
09/07/2023,"114.65","115.85","113.70","113.95","13,248,540"
09/06/2023,"113.48","114.59","113.23","114.51","13,325,540"
09/05/2023,"114.10","115.83","113.50","113.53","18,304,010"
09/01/2023,"112.20","113.82","112.20","113.52","14,843,480"
08/31/2023,"111.12","111.42","110.62","111.19","17,479,830"
08/30/2023,"110.44","111.14","109.98","110.88","11,922,060"
08/29/2023,"109.66","110.02","108.42","109.81","9,665,010"
08/28/2023,"108.45","110.04","108.44","109.16","10,382,120"
08/25/2023,"107.43","108.93","106.62","108.25","13,579,300"
08/24/2023,"106.42","107.77","106.07","106.35","10,818,480"
08/23/2023,"107.04","107.30","105.72","107.15","11,435,550"
08/22/2023,"109.17","109.72","107.95","108.10","10,520,840"
08/21/2023,"110.36","110.98","108.14","108.71","11,092,380"
08/18/2023,"107.64","110.20","107.62","110.04","16,223,950"
08/17/2023,"107.42","110.15","107.42","108.40","16,709,539"
08/16/2023,"108.28","109.33","106.28","106.34","13,695,120"
08/15/2023,"110.75","110.86","107.97","108.16","14,909,580"
08/14/2023,"111.68","111.98","110.78","111.92","12,973,380"
08/11/2023,"110.37","112.07","110.05","111.83","14,047,040"
08/10/2023,"110.19","111.63","109.44","110.12","15,837,170"
08/09/2023,"108.71","110.42","108.31","109.56","19,919,600"
08/08/2023,"106.04","107.75","104.84","107.73","14,065,570"
08/07/2023,"107.90","108.42","106.51","107.20","12,410,830"
08/04/2023,"107.96","109.24","107.33","107.42","14,279,630"
08/03/2023,"105.89","107.88","105.30","107.12","16,283,110"
08/02/2023,"106.26","106.38","104.57","105.29","13,489,810"
08/01/2023,"106.95","107.32","105.53","106.62","14,212,940"
07/31/2023,"105.19","107.86","105.19","107.24","24,200,301"
07/28/2023,"105.11","105.16","102.32","104.16","17,571,680"
07/27/2023,"106.00","106.99","104.74","105.42","17,677,891"
07/26/2023,"105.11","105.72","104.64","105.09","15,159,620"
07/25/2023,"105.06","106.09","104.54","105.68","14,116,080"
07/24/2023,"104.36","106.16","103.96","105.52","15,090,860"
07/21/2023,"104.16","104.38","103.26","103.89","17,121,490"
07/20/2023,"102.54","103.66","102.36","103.41","15,740,200"
07/19/2023,"101.05","102.40","100.80","101.62","15,556,540"
