Sref TeamID From URL,Team Name,Mongo TeamID
oklahoma,Oklahoma,54457dd3300969b132fcfeb3
oklahoma-state,Oklahoma State,54457dd3300969b132fcfec9
old-dominion,Old Dominion,54457dd3300969b132fcfedd
nebraska-omaha,Omaha,54457dd6300969b132fd019a
oral-roberts,Oral Roberts,54457dd3300969b132fcfebb
oregon,Oregon,54457dd3300969b132fcfe86
oregon-state,Oregon State,54457dd3300969b132fcfeb7
pacific,Pacific,54457dd4300969b132fcff1d
penn-state,Penn State,54457dd3300969b132fcfee6
pennsylvania,Pennsylvania,54457dd4300969b132fcff37
pepperdine,Pepperdine,54457dd3300969b132fcfe9c
pittsburgh,Pittsburgh,54457dd3300969b132fcfed8
portland,Portland,54457dd4300969b132fcff86
portland-state,Portland State,54457dd4300969b132fcff67
prairie-view,Prairie View,54457dd4300969b132fcff5b
presbyterian,Presbyterian,54457dd4300969b132fcffc1
princeton,Princeton,54457dd3300969b132fcfea7
providence,Providence,54457dd3300969b132fcfec3
purdue,Purdue,54457dd3300969b132fcfef4
ipfw,Purdue-Fort Wayne,54457dd4300969b132fcffb2
quinnipiac,Quinnipiac,54457dd3300969b132fcfec8
radford,Radford,54457dd4300969b132fcffa3
rhode-island,Rhode Island,54457dd4300969b132fcff16
rice,Rice,54457dd4300969b132fcff79
richmond,Richmond,54457dd4300969b132fcff11
rider,Rider,54457dd4300969b132fcff7a
robert-morris,Robert Morris,54457dd4300969b132fcff68
rutgers,Rutgers,54457dd3300969b132fcfef1
sacramento-state,Sacramento State,54457dd3300969b132fcfebf
sacred-heart,Sacred Heart,54457dd4300969b132fcff5c
saint-francis-pa,Saint Francis (PA),54457dd4300969b132fcff82
saint-josephs,Saint Joseph's,54457dd3300969b132fcfed7
saint-louis,Saint Louis,54457dd3300969b132fcfeb5
saint-marys-ca,Saint Mary's (CA),54457dd3300969b132fcfef7
saint-peters,Saint Peter's,54457dd3300969b132fcfec0
sam-houston-state,Sam Houston State,54457dd3300969b132fcfea6
samford,Samford,54457dd3300969b132fcfede
san-diego-state,San Diego State,54457dd3300969b132fcfec2
san-diego,San Diego,54457dd4300969b132fcff1a
san-francisco,San Francisco,54457dd4300969b132fcff05
san-jose-state,San Jose State,54457dd3300969b132fcfeef
santa-clara,Santa Clara,54457dd4300969b132fcff13
savannah-state,Savannah State,54457dd4300969b132fcffb7
seattle,Seattle,54457dd4300969b132fcffd9
seton-hall,Seton Hall,54457dd3300969b132fcfe83
siena,Siena,54457dd4300969b132fcff52
south-alabama,South Alabama,54457dd4300969b132fcff29
south-carolina,South Carolina,54457dd4300969b132fcff04
south-carolina-state,South Carolina State,54457dd4300969b132fcfff0
south-carolina-upstate,South Carolina Upstate,54457dd4300969b132fcffe0
south-dakota,South Dakota,54457dd4300969b132fcffdc
south-dakota-state,South Dakota State,54457dd4300969b132fcffc3
south-florida,South Florida,54457dd3300969b132fcfee9
southeast-missouri-state,Southeast Missouri State,54457dd3300969b132fcfec5
southeastern-louisiana,Southeastern Louisiana,54457dd4300969b132fcff6c
southern-california,Southern California,54457dd3300969b132fcfeb0
southern-illinois,Southern Illinois,54457dd3300969b132fcfeed
southern-illinois-edwardsville,Southern Illinois-Edwardsville,54457dd4300969b132fcffe3
southern,Southern,54457dd3300969b132fcfefd
southern-methodist,Southern Methodist,54457dd4300969b132fcffdd
southern-mississippi,Southern Mississippi,54457dd4300969b132fcffce
southern-utah,Southern Utah,54457dd4300969b132fcff69
st-bonaventure,St. Bonaventure,54457dd4300969b132fcff7b
st-francis-ny,St. Francis (NY),54457dd4300969b132fcff9e
st-johns-ny,St. John's (NY),54457dd3300969b132fcfe92
st-thomas-mn,St. Thomas (MN),54457dd7300969b132fd028b
stanford,Stanford,54457dd3300969b132fcfe9e
stephen-f-austin,Stephen F. Austin,54457dd4300969b132fcffbf
stetson,Stetson,54457dd4300969b132fcff49
stony-brook,Stony Brook,54457dd3300969b132fcfebc
syracuse,Syracuse,54457dd3300969b132fcfecb
tarleton-state,Tarleton State,54457dd6300969b132fd01a0
texas-christian,TCU,54457dd3300969b132fcfea0
temple,Temple,54457dd3300969b132fcfee0
tennessee-state,Tennessee State,54457dd3300969b132fcfebe
tennessee-tech,Tennessee Tech,54457dd4300969b132fcffab
tennessee,Tennessee,54457dd3300969b132fcfe98
tennessee-martin,Tennessee Martin,54457dd3300969b132fcfed0
texas-am,Texas A&M,54457dd3300969b132fcfefa
texas-am-corpus-christi,Texas A&M-Corpus Christi,54457dd4300969b132fcff64
texas,Texas,54457dd3300969b132fcfe85
texas-southern,Texas Southern,54457dd3300969b132fcfeb6
texas-state,Texas State,54457dd4300969b132fcffbe
texas-tech,Texas Tech,54457dd3300969b132fcfead
texas-pan-american,Texas-Rio Grande Valley ,54457dd4300969b132fcffef
citadel,Citadel,54457dd4300969b132fcff41
toledo,Toledo,54457dd4300969b132fcff73
towson,Towson,54457dd3300969b132fcfec1
troy,Troy,54457dd4300969b132fcffa6
tulane,Tulane,54457dd4300969b132fcff94
tulsa,Tulsa,54457dd4300969b132fcffba
alabama-birmingham,UAB,54457dd3300969b132fcfec4
california-davis,UC Davis,54457dd3300969b132fcfeeb
california-irvine,UC Irvine,54457dd4300969b132fcff9d
california-riverside,UC Riverside,54457dd4300969b132fcff3c
california-san-diego,UC San Diego,54457dd5300969b132fd00c2
california-santa-barbara,UC Santa Barbara,54457dd4300969b132fcffa0
ucla,UCLA,54457dd3300969b132fcfe91
north-carolina-asheville,UNC Asheville,54457dd3300969b132fcfeba
north-carolina-greensboro,UNC Greensboro,54457dd3300969b132fcfed2
north-carolina-wilmington,UNC Wilmington,54457dd4300969b132fcff1c
texas-arlington,UT Arlington,54457dd4300969b132fcff89
utah-state,Utah State,54457dd4300969b132fcff06
utah,Utah,54457dd3300969b132fcfea3
utah-valley,Utah Valley,54457dd4300969b132fcffb9
texas-el-paso,UTEP,54457dd4300969b132fcff17
texas-san-antonio,UTSA,54457dd4300969b132fcff59
valparaiso,Valparaiso,54457dd3300969b132fcfea1
vanderbilt,Vanderbilt,54457dd3300969b132fcfee4
vermont,Vermont,54457dd4300969b132fcff42
villanova,Villanova,54457dd3300969b132fcfee8
virginia,Virginia,54457dd4300969b132fcff0e
virginia-commonwealth,VCU,54457dd4300969b132fcff92
virginia-military-institute,VMI,54457dd4300969b132fcff3a
virginia-tech,Virginia Tech,54457dd3300969b132fcfef9
wagner,Wagner,54457dd4300969b132fcffca
wake-forest,Wake Forest,54457dd3300969b132fcfe8d
washington,Washington,54457dd3300969b132fcfed5
washington-state,Washington State,54457dd3300969b132fcfebd
weber-state,Weber State,54457dd4300969b132fcff7c
west-virginia,West Virginia,54457dd3300969b132fcfeb4
western-carolina,Western Carolina,54457dd4300969b132fcffc4
western-illinois,Western Illinois,54457dd4300969b132fcffe8
western-kentucky,Western Kentucky,54457dd3300969b132fcfea9
western-michigan,Western Michigan,54457dd4300969b132fcff46
wichita-state,Wichita State,54457dd4300969b132fcff1f
william-mary,William & Mary,54457dd4300969b132fcff9c
winthrop,Winthrop,54457dd4300969b132fcff20
wisconsin,Wisconsin,54457dd3300969b132fcfe8f
wofford,Wofford,54457dd4300969b132fcffb8
wright-state,Wright State,54457dd4300969b132fcff83
wyoming,Wyoming,54457dd3300969b132fcfee7
xavier,Xavier,54457dd4300969b132fcff08
yale,Yale,54457dd3300969b132fcfeea
youngstown-state,Youngstown State,54457dd4300969b132fcff61
